Date,Close,High,Low,Open,Volume
2023-01-03,123.77,129.54,122.88,128.92,112117500.0
2023-01-04,125.05,127.32,123.78,125.57,89113600.0
2023-01-05,123.72,126.44,123.46,125.81,80962700.0
2023-01-06,128.27,128.93,123.59,124.7,87754700.0
2023-01-09,128.8,132.02,128.54,129.11,70790800.0
2023-01-10,129.37,129.89,126.79,128.9,63896200.0
2023-01-11,132.1,132.12,129.1,129.88,69458900.0
2023-01-12,132.02,132.86,130.07,132.49,71379600.0
2023-01-13,133.36,133.52,130.29,130.66,57809700.0
2023-01-17,134.53,135.86,132.73,133.43,63646600.0
2023-01-18,133.8,137.17,133.62,135.4,69672800.0
2023-01-19,133.86,134.83,132.38,132.68,58280400.0
2023-01-20,136.44,136.58,132.82,133.87,80223600.0
2023-01-23,139.64,141.83,136.46,136.68,81760300.0
2023-01-24,141.05,141.67,138.84,138.85,66435100.0
2023-01-25,140.38,140.95,137.37,139.42,65799300.0
2023-01-26,142.46,142.75,140.42,141.68,54105100.0
2023-01-27,144.41,145.7,141.59,141.67,70555800.0
2023-01-30,141.51,144.04,141.36,143.45,64015300.0
2023-01-31,142.79,142.84,140.8,141.21,65874500.0
2023-02-01,143.92,145.08,139.85,142.47,77663600.0
2023-02-02,149.25,149.61,146.63,147.35,118339000.0
2023-02-03,152.89,155.74,146.29,146.49,154357300.0
2023-02-06,150.15,151.51,149.21,150.98,69858300.0
2023-02-07,153.04,153.61,149.07,149.07,83322600.0
2023-02-08,150.34,152.97,149.6,152.28,64120100.0
2023-02-09,149.3,152.72,148.85,152.18,56007100.0
2023-02-10,149.67,149.99,147.89,148.13,57450700.0
2023-02-13,152.48,152.89,149.58,149.61,62199000.0
2023-02-14,151.84,152.4,149.52,150.77,61707600.0
2023-02-15,153.95,154.12,151.52,151.75,65573800.0
2023-02-16,152.34,154.94,151.99,152.14,68167900.0
2023-02-17,151.19,151.64,149.51,150.99,59144100.0
2023-02-21,147.16,149.95,147.09,148.86,58867200.0
2023-02-22,147.59,148.62,145.85,147.55,51011300.0
2023-02-23,148.07,149.0,145.93,148.75,48394200.0
2023-02-24,145.4,145.88,144.42,145.8,55469600.0
2023-02-27,146.6,147.84,146.14,146.4,44998500.0
2023-02-28,146.1,147.75,145.52,145.74,50547000.0
2023-03-01,144.02,145.92,143.72,145.52,55479000.0
2023-03-02,144.61,145.4,142.62,143.1,52238100.0
2023-03-03,149.69,149.77,146.02,146.72,70732300.0
2023-03-06,152.46,154.91,152.09,152.42,87558000.0
2023-03-07,150.25,152.66,149.79,152.33,56182000.0
2023-03-08,151.51,152.1,150.48,151.45,47204800.0
2023-03-09,149.25,153.17,148.89,152.19,53833600.0
2023-03-10,147.18,149.6,146.3,148.87,68572400.0
2023-03-13,149.13,151.78,146.39,146.5,84457100.0
2023-03-14,151.23,152.04,148.76,149.93,73695900.0
2023-03-15,151.63,151.89,148.59,149.85,77167900.0
2023-03-16,154.46,155.07,150.29,150.81,76161100.0
2023-03-17,153.62,155.35,152.91,154.69,98944600.0
2023-03-20,156.0,156.42,152.78,153.69,73641400.0
2023-03-21,157.86,157.98,155.15,155.92,73938300.0
2023-03-22,156.43,160.7,156.41,157.88,75701800.0
2023-03-23,157.52,160.11,156.28,157.42,67622100.0
2023-03-24,158.82,158.91,156.45,157.45,59196500.0
2023-03-27,156.87,159.34,156.47,158.52,52390300.0
2023-03-28,156.25,157.08,154.59,156.56,45992200.0
2023-03-29,159.34,159.62,157.93,157.95,51305700.0
2023-03-30,160.92,161.02,159.84,160.09,49501700.0
2023-03-31,163.43,163.53,160.47,160.99,68749800.0
2023-04-03,164.69,164.81,162.76,162.81,56976200.0
2023-04-04,164.16,165.36,163.64,165.12,46278300.0
2023-04-05,162.3,163.58,160.36,163.27,51511700.0
2023-04-06,163.2,163.49,160.56,160.99,45390100.0
2023-04-10,160.59,160.59,158.66,159.98,47716900.0
2023-04-11,159.37,160.92,159.08,160.91,47644200.0
2023-04-12,158.68,160.62,158.36,159.79,50133100.0
2023-04-13,164.09,164.33,159.98,160.19,68445600.0
2023-04-14,163.74,164.84,162.36,163.13,49386500.0
2023-04-17,163.76,163.92,162.57,163.62,41516200.0
2023-04-18,164.99,165.92,164.18,164.62,49923000.0
2023-04-19,166.14,166.66,164.07,164.33,47720200.0
2023-04-20,165.17,166.38,164.09,164.61,52456400.0
2023-04-21,163.55,164.97,163.03,163.58,58337300.0
2023-04-24,163.86,164.13,162.43,163.53,41949600.0
2023-04-25,162.31,164.83,162.27,163.72,48714100.0
2023-04-26,162.3,163.81,161.35,161.61,45498800.0
2023-04-27,166.91,167.06,163.72,163.72,64902300.0
2023-04-28,168.17,168.34,166.39,166.99,55209200.0
2023-05-01,168.08,168.93,167.14,167.77,52472900.0
2023-05-02,167.04,168.83,166.05,168.58,48425700.0
2023-05-03,165.96,169.4,165.67,167.99,65136000.0
2023-05-04,164.32,165.55,162.85,163.42,81235400.0
2023-05-05,172.03,172.75,169.24,169.46,113316400.0
2023-05-08,171.96,172.3,170.58,170.95,55962800.0
2023-05-09,170.24,172.0,170.07,171.51,45326900.0
2023-05-10,172.02,172.48,170.37,171.48,53724500.0
2023-05-11,172.2,173.04,170.64,172.3,49514700.0
2023-05-12,171.27,172.75,169.71,172.31,45497800.0
2023-05-15,170.78,171.91,170.18,171.86,37266700.0
2023-05-16,170.78,171.84,170.51,170.7,42110300.0
2023-05-17,171.39,171.63,169.14,170.42,57951600.0
2023-05-18,173.73,173.92,171.28,171.7,65496700.0
2023-05-19,173.84,175.06,173.62,175.06,55772400.0
2023-05-22,172.89,173.4,172.14,172.67,43570900.0
2023-05-23,170.27,172.08,169.99,171.83,50747300.0
2023-05-24,170.55,171.12,169.24,169.8,45143500.0
2023-05-25,171.69,172.59,170.4,171.11,56058300.0
2023-05-26,174.11,174.45,171.81,172.02,54835000.0
2023-05-30,175.97,177.64,175.24,175.63,55964400.0
2023-05-31,175.92,178.0,175.43,176.0,99625300.0
2023-06-01,178.73,178.76,175.6,176.36,68901800.0
2023-06-02,179.59,180.41,177.91,179.67,61945900.0
2023-06-05,178.23,183.56,176.7,181.26,121946500.0
2023-06-06,177.86,178.76,176.09,178.62,64848400.0
2023-06-07,176.48,179.85,175.99,177.1,61944600.0
2023-06-08,179.21,179.48,176.12,176.56,50214900.0
2023-06-09,179.6,180.86,179.27,180.13,48870700.0
2023-06-12,182.41,182.51,179.61,179.91,54274900.0
2023-06-13,181.93,182.76,181.07,181.42,54929100.0
2023-06-14,182.57,183.0,180.65,181.99,57462900.0
2023-06-15,184.61,185.12,182.4,182.58,65433200.0
2023-06-16,183.53,185.58,182.88,185.32,101235600.0
2023-06-20,183.62,184.7,183.02,183.02,49799100.0
2023-06-21,182.58,184.01,181.22,183.51,49515700.0
2023-06-22,185.59,185.64,182.29,182.36,51245300.0
2023-06-23,185.28,186.15,183.62,184.15,53079300.0
2023-06-26,183.88,186.63,183.84,185.42,48088700.0
2023-06-27,186.64,186.97,184.27,184.49,50730800.0
2023-06-28,187.83,188.47,186.19,186.52,51216800.0
2023-06-29,188.16,188.64,187.52,187.66,46347300.0
2023-06-30,192.51,193.02,189.82,190.19,85069600.0
2023-07-03,191.01,192.42,190.32,192.32,31458200.0
2023-07-05,189.89,191.53,189.19,190.13,46920300.0
2023-07-06,190.37,190.58,187.78,188.41,45094300.0
2023-07-07,189.25,191.22,188.81,189.97,46778000.0
2023-07-10,187.19,188.56,185.63,187.84,59922200.0
2023-07-11,186.66,187.88,185.2,187.74,46638100.0
2023-07-12,188.34,190.26,187.05,188.25,60750200.0
2023-07-13,189.11,189.75,188.35,189.07,41342300.0
2023-07-14,189.26,189.74,188.2,188.8,41573900.0
2023-07-17,192.53,192.86,190.37,190.46,50520200.0
2023-07-18,192.27,192.87,190.97,191.9,48353800.0
2023-07-19,193.63,196.74,191.2,191.65,80507300.0
2023-07-20,191.68,194.99,191.05,193.62,59581200.0
2023-07-21,190.5,193.5,189.79,192.64,71917800.0
2023-07-24,191.3,193.44,190.8,191.95,45377800.0
2023-07-25,192.16,192.98,191.47,191.88,37283200.0
2023-07-26,193.04,194.17,191.87,192.21,47471900.0
2023-07-27,191.77,195.72,191.1,194.55,47460200.0
2023-07-28,194.36,195.15,192.68,193.21,48291400.0
2023-07-31,194.97,195.01,193.79,194.58,38824100.0
2023-08-01,194.14,195.25,193.81,194.76,35175100.0
2023-08-02,191.13,193.71,190.41,193.57,50389300.0
2023-08-03,189.73,190.92,189.26,190.13,61235200.0
2023-08-04,180.62,185.97,180.55,184.12,115799700.0
2023-08-07,177.5,181.75,176.02,180.76,97576100.0
2023-08-08,178.45,178.91,176.24,178.34,67823000.0
2023-08-09,176.85,179.57,175.68,179.51,60378500.0
2023-08-10,176.63,179.39,176.26,178.13,54686900.0
2023-08-11,176.69,177.52,175.46,176.22,51988100.0
2023-08-14,178.35,178.58,176.21,176.87,43675600.0
2023-08-15,176.35,178.37,175.96,177.77,43622600.0
2023-08-16,175.48,177.44,175.41,176.03,46964900.0
2023-08-17,172.92,176.41,172.41,176.04,66062900.0
2023-08-18,173.41,174.02,170.9,171.23,61114200.0
2023-08-21,174.75,175.04,172.67,173.99,46311900.0
2023-08-22,176.13,176.58,175.16,175.96,42084200.0
2023-08-23,180.0,180.43,177.23,177.42,52722800.0
2023-08-24,175.29,179.98,174.92,179.55,54945800.0
2023-08-25,177.51,178.04,174.73,176.28,51449600.0
2023-08-28,179.08,179.47,177.45,178.98,43820700.0
2023-08-29,182.98,183.76,178.39,178.59,53003900.0
2023-08-30,186.49,186.69,183.6,183.8,60813900.0
2023-08-31,186.71,187.95,186.32,186.68,60794500.0
2023-09-01,188.29,188.75,187.12,188.32,45732600.0
2023-09-05,188.53,188.81,186.45,187.12,45280000.0
2023-09-06,181.78,187.68,180.35,187.23,81755800.0
2023-09-07,176.46,177.11,172.47,174.1,112488800.0
2023-09-08,177.08,179.13,176.69,177.25,65551300.0
2023-09-11,178.25,179.18,176.24,178.96,58953100.0
2023-09-12,175.21,179.02,173.74,178.38,90370200.0
2023-09-13,173.13,176.2,172.9,175.42,84267900.0
2023-09-14,174.65,175.01,172.51,172.92,60895800.0
2023-09-15,173.93,175.41,172.75,175.39,109205100.0
2023-09-18,176.87,178.27,175.08,175.39,67257600.0
2023-09-19,177.96,178.52,176.03,176.42,51826900.0
2023-09-20,174.4,178.59,174.32,178.15,58436200.0
2023-09-21,172.85,175.21,172.78,173.47,63047900.0
2023-09-22,173.71,175.98,172.97,173.59,56725400.0
2023-09-25,174.99,175.88,173.07,173.12,46172700.0
2023-09-26,170.9,174.12,170.6,173.74,64588900.0
2023-09-27,169.38,171.97,168.0,171.55,66921800.0
2023-09-28,169.63,170.97,166.58,168.29,56294400.0
2023-09-29,170.15,172.0,169.29,170.96,51814200.0
2023-10-02,172.68,173.22,169.87,170.16,52164500.0
2023-10-03,171.33,172.56,169.76,171.19,49594600.0
2023-10-04,172.59,173.13,169.91,170.03,53020300.0
2023-10-05,173.83,174.36,171.61,172.72,48527900.0
2023-10-06,176.39,176.89,172.11,172.73,57224100.0
2023-10-09,177.88,177.94,174.71,175.72,42390800.0
2023-10-10,177.29,178.61,176.85,177.0,43698000.0
2023-10-11,178.69,178.74,176.5,177.1,47551100.0
2023-10-12,179.59,181.21,177.93,178.96,56743100.0
2023-10-13,177.74,180.8,177.04,180.3,51427100.0
2023-10-16,177.61,177.97,175.42,175.66,52517000.0
2023-10-17,176.05,177.32,173.72,175.56,57549400.0
2023-10-18,174.75,176.48,174.03,174.49,54764400.0
2023-10-19,174.37,176.74,174.11,174.95,59302900.0
2023-10-20,171.81,174.34,171.57,174.23,64189300.0
2023-10-23,171.93,172.93,168.88,169.85,55980100.0
2023-10-24,172.37,172.6,170.39,171.98,43816600.0
2023-10-25,170.04,171.99,169.59,170.82,57157000.0
2023-10-26,165.86,170.32,164.65,169.32,70625300.0
2023-10-27,167.18,167.92,165.8,165.88,58499100.0
2023-10-30,169.24,170.11,167.83,167.97,51131000.0
2023-10-31,169.71,169.84,166.86,168.3,44846000.0
2023-11-01,172.89,173.15,169.07,169.94,56934900.0
2023-11-02,176.47,176.68,174.37,174.43,77334800.0
2023-11-03,175.56,175.73,172.28,173.16,79763700.0
2023-11-06,178.12,178.32,175.12,175.29,63841300.0
2023-11-07,180.7,181.31,177.86,178.07,70530000.0
2023-11-08,181.76,182.32,180.47,181.22,49340300.0
2023-11-09,181.28,182.98,180.69,181.83,53763500.0
2023-11-10,185.49,185.66,182.64,183.07,66133400.0
2023-11-13,183.9,185.12,183.31,184.91,43627500.0
2023-11-14,186.53,187.19,185.39,186.78,60108400.0
2023-11-15,187.09,188.58,186.86,186.93,53790500.0
2023-11-16,188.79,190.03,187.73,188.65,54412900.0
2023-11-17,188.77,189.45,187.65,189.32,50922700.0
2023-11-20,190.52,190.97,188.95,188.96,46505100.0
2023-11-21,189.71,190.59,188.81,190.48,38134500.0
2023-11-22,190.38,191.99,189.9,190.56,39617700.0
2023-11-24,189.04,189.97,188.33,189.94,24048300.0
2023-11-27,188.86,189.74,187.98,188.99,40552600.0
2023-11-28,189.47,190.15,188.48,188.85,38415400.0
2023-11-29,188.45,191.15,188.05,189.97,43014200.0
2023-11-30,189.02,189.39,187.27,188.91,48794400.0
2023-12-01,190.31,190.63,188.31,189.4,45679300.0
2023-12-04,188.51,189.12,186.54,189.05,43389500.0
2023-12-05,192.48,193.45,189.25,189.28,66628400.0
2023-12-06,191.38,193.81,191.17,193.5,41089700.0
2023-12-07,193.32,194.05,192.65,192.69,47477700.0
2023-12-08,194.76,195.03,192.73,193.25,53377300.0
2023-12-11,192.24,192.55,190.49,192.17,60943700.0
2023-12-12,193.76,193.77,190.79,192.14,52696900.0
2023-12-13,196.99,197.03,193.9,194.14,70404200.0
2023-12-14,197.14,198.65,195.2,197.05,66831600.0
2023-12-15,196.61,197.43,196.04,196.57,128256700.0
2023-12-18,194.93,195.67,193.44,195.13,55751900.0
2023-12-19,195.98,195.99,194.94,195.2,40714100.0
2023-12-20,193.88,196.72,193.88,195.94,52242800.0
2023-12-21,193.73,196.12,192.56,195.14,46482500.0
2023-12-22,192.66,194.46,192.03,194.23,37122800.0
2023-12-26,192.11,192.94,191.89,192.67,28919300.0
2023-12-27,192.21,192.56,190.16,191.55,48087700.0
2023-12-28,192.64,193.71,192.23,193.19,34049900.0
2023-12-29,191.59,193.45,190.8,192.95,42628800.0
